#Stadt,Einwohner,Breitengrad,Laengengrad
Aba,897560,5.1,7.35
Abeokuta,593100,7.16,3.35
Abidjan,4007000,5.33,-4.03
Abomey-Calavi,385755,6.44,2.36
Accra,1963264,5.56,-0.2
Addis Ababa,2738248,9.03,38.74
ad-Duayn,210212,11.43,26.16
Ado,274309,7.67,5.27
Agadir,678596,30.42,-9.61
Akure,420594,7.25,5.2
al-Aziziyah,287407,32.53,13.02
Alberton,202503,-26.33,28.13
Alexandria,4230569,31.22,29.95
al-Fasir,217827,13.63,25.35
Algiers,2239613,36.77,3.04
al-Hums,201943,32.66,14.26
al-Khartum Bahri,1012211,15.64,32.52
al-Qadarif,269395,14.04,35.38
al-Ubayyid,345126,13.19,30.22
Annabah,206570,36.91,7.76
Antananarivo,1391433,-18.89,47.51
Arusha,341136,-3.36,36.67
Aryanah,240749,36.88,10.18
Ashiaman,202932,5.7,-0.33
Asmara,563930,15.33,38.94
Aswan,265004,24.08,32.92
Asyut,389307,27.19,31.18
Bab Azwar,275630,36.72,3.18
Bafoussam,290768,5.49,10.41
Bamako,1809106,12.65,-7.99
Bamenda,393835,5.96,10.15
Bangui,542393,4.36,18.56
Batnah,280798,35.57,6.17
Bauchi,316149,10.31,9.84
Beira,436240,-19.83,34.84
Benghazi,650629,32.12,20.07
Benin,1125058,6.34,5.62
Beni Suef,211173,29.08,31.09
Benoni,605344,-26.15,28.33
Berbera,242344,10.44,45.
Bertoua,218111,4.58,13.68
Bissau,384960,11.87,-15.6
Blantyre,661256,-15.79,34.99
Bloemfontein,463064,-29.1167,26.2167
Bobo Dioulasso,435543,11.18,-4.29
Boksburg,445168,-26.27,28.23
Boma,344441,-5.85,13.05
Botshabelo,309714,-29.23,26.73
Bouake,573000,7.69,-5.03
Brakpan,305692,-26.29,28.37
Brazzaville,1375237,-4.25,15.26
Bujumbura,330504,-3.37,29.35
Bukavu,471789,-2.51,28.84
Bulawayo,699385,-20.17,28.58
Bunia,230625,1.56,30.24
Bur Sudan,394561,19.63,37.12
Cairo,9120350,30.06,31.25
Calabar,461796,4.96,8.31
Cape Town,3497097,-33.93,18.46
Casablanca,3111977,33.6,-7.62
Centurion,233386,-25.83,28.2
Chimoio,238976,-19.12,33.47
Chitungwiza,340360,-18.,31.1
Conakry,1548470,9.55,-13.67
Constantine,450097,36.36,6.6
Cotonou,719912,6.36,2.44
Dakar,2396800,14.72,-17.48
Daloa,215100,6.89,-6.45
Damanhoor,241895,31.04,30.47
Damaturu,255895,11.75,11.96
Damietta,206664,31.42,31.82
Dar es Salaam,2698652,-6.82,39.28
Dire Dawa,293173,9.59,41.86
Djelfa,213225,34.68,3.25
Djibouti,610608,11.56,43.15
Djougou,202810,9.7,1.68
Douala,2131832,4.06,9.71
Durban,3468086,-29.87,30.99
East London,421562,-32.97,27.87
Ede,283710,7.73,4.52
Edea,203149,3.8,10.12
Efon Alaye,279319,7.67,4.88
Eldoret,218446,0.52,35.27
El Faiyum,316772,29.31,30.84
El Mahalla el Kubra,442884,30.97,31.17
El Mansura,450267,31.04,31.38
El Zagazig,302611,30.58,31.5
Enugu,653392,6.33,7.5
Fez,946815,34.05,-5.
Freetown,772873,8.49,-13.24
Gaborone,208411,-24.65,25.91
Garoua,436899,9.3,13.39
Giza,3087878,30.01,31.21
Goma,249862,-1.69,29.22
Gombe,250258,10.29,11.17
Gondar,204001,12.61,37.46
Gusau,226857,12.17,6.66
Harare,1542813,-17.82,31.05
Hargeysa,477876,9.56,44.06
Huambo,226145,-12.76,15.73
Ibadan,3565108,7.38,3.93
Ife,372167,7.55,4.57
Ijebu Ode,209175,6.81,3.92
Ikire,222160,7.34,4.18
Ikorodu,313439,6.61,3.51
Ikot Ekpene,254806,5.19,7.71
Ilesha,277904,7.62,4.74
Ilorin,814192,8.5,4.53
Iseyin,340686,7.98,3.67
Ismailia,324717,30.59,32.26
Iwo,250443,7.63,4.18
Jimeta,248148,9.28,12.46
Johannesburg,3888182,-26.19,28.04
Jos,816824,9.93,8.89
