#Stadt,Einwohner,Breitengrad,Laengengrad
Abadan,370180,30.33,48.28
Abha,201912,18.23,42.5
Abu Dhabi,630000,24.48,54.37
Adana,1609790,37.,35.32
Adapazari,377683,40.79,30.41
ad-Dammam,903312,26.43,50.1
ad-Diwaniyah,318801,32.,44.93
Aden,588938,12.79,45.03
Agra,1430055,27.19,78.01
Ahmedabad,3719710,23.03,72.58
Ahvaz,985614,31.28,48.72
Ajman,202244,25.42,55.43
Ajmer,517911,26.45,74.64
Akashi,291033,34.66,134.98
Akita,327314,39.71,140.11
Akmechet,201719,44.8,65.47
Akola,428857,20.71,77.
Al Ain,350000,24.2258,55.7443
al-Amarah,323302,31.85,47.17
al-Basrah,1200000,30.5,47.83
Aleppo,2132100,36.23,37.17
al-Hillah,289709,32.48,44.46
al-Hudaydah,617871,14.8,42.95
al-Hufuf,287841,25.35,49.58
Aligarh,753207,27.89,78.06
al-Jubayl,222544,27.01,49.65
al-Kharj,200958,24.15,47.31
al-Kut,315162,32.5,45.82
al-Ladhiqiyah,340181,35.54,35.78
Allahabad,1073438,25.45,81.84
al-Madinah,1100093,24.48,39.59
Almaty,1472866,43.32,76.92
al-Mawsil,1450000,36.34,43.14
al-Mubarraz,285067,25.43,49.57
al-Mukalla,258132,14.54,49.13
Alor Setar,217368,6.11,100.37
Amagasaki,462484,34.71,135.41
Ambon,355596,-3.7,128.16
Amman,1036330,31.95,35.93
Ampang Jaya,644136,3.15,101.77
Amravati,603837,20.95,77.76
Amritsar,1092450,31.64,74.87
Andijon,318419,40.79,72.34
Angarsk,245699,52.57,103.91
Ankara,4338620,39.93,32.85
an-Najaf,482576,31.99,44.33
an-Nasiriyah,400249,31.04,46.26
Anqing,6158800,30.5,117.05
Ansan,669839,37.3236,126.822
Antalya,885486,36.89,30.71
Antipolo,549543,14.5864,121.175
Anyang,5731600,36.08,114.35
Anyang,609886,37.3925,126.927
Aomori,311492,40.83,140.74
Aqtobe,371546,50.28,57.17
Arak,446760,34.08,49.7
Ardabil,412669,38.25,48.3
Arkhangelsk,349772,64.57,40.53
ar-Ramadi,274539,33.43,43.31
ar-Rayyan,258193,25.32,51.37
ar-Russayfah,227735,32.02,36.02
Asahikawa,354988,43.77,142.36
Asansol,504271,23.69,86.98
Ashgabat,827500,37.95,58.38
as-Sib,302992,23.67,58.19
Astana,742918,51.17,71.47
Astrakhan,498953,46.35,48.05
Atsugi,222349,35.45,139.36
aT-Taif,521273,21.26,40.38
Aurangabad,1016441,19.89,75.32
az-Zarqa,395227,32.07,36.1
Bacolod City,499497,10.6667,122.95
Bacoor,441197,14.4578,120.942
Baghdad,6250000,33.33,44.44
Bago,244376,17.33,96.5
Baguio,301926,16.4164,120.593
Bahawalpur,552607,29.39,71.67
Baku,2122300,40.39,49.86
Balikesir,241404,39.65,27.88
Balikpapan,433866,-1.26,116.83
Banda Aceh,250757,5.55,95.32
Bandar-e Abbas,367508,27.25,56.25
Bandar Lampung,879651,-5.44,105.27
Bandung,2417584,-6.91,107.6
Bangkok,5695956,13.73,100.5
Banjarmasin,572837,-3.33,114.59
Baoding,11552800,38.87,115.48
Bareilly,745435,28.36,79.41
Barisal,280415,22.7,90.37
Barnaul,604187,53.36,83.75
Batam,277116,1.03,103.92
Batman,293024,37.89,41.13
Beijing,12458000,39.93,116.4
Beirut,2006452,33.88,35.5
Bekasi,2378211,-6.22,106.97
Belgaum,428720,15.86,74.5
Belgorod,344242,50.61,36.59
Bengaluru,4931230,12.97,77.56
Bengkulu,309712,-3.8,102.25
Bhatpara,483129,22.89,88.42
