#Stadt,Einwohner,Breitengrad,Laengengrad
Aachen,258770,50.77,6.09
A Coruna,243320,43.33,-8.42
Alcala de Henares,201380,40.48,-3.37
Alicante,322431,38.35,-0.48
Amsterdam,799345,52.37,4.89
Antwerp,461580,51.22,4.42
Arhus,228674,56.16,10.21
Athens,655780,37.98,23.73
Augsburg,262512,48.36,10.89
Babrujsk,219000,53.13,29.19
Badalona,221520,41.45,2.24
Barcelona,1619337,41.4,2.17
Bari,313713,41.12,16.87
Barnsley,231221,53.55,-1.48333
Belfast,281000,54.5833,-5.93333
Belgrade,1639121,44.83,20.5
Bergen,267950,60.38,5.34
Berlin,3442675,52.52,13.38
Bialystok,294817,53.14,23.16
Bielefeld,325846,52.03,8.53
Bila Tserkva,204794,49.78,30.12
Bilbao,354145,43.25,-2.93
Birmingham,1073045,52.4667,-1.91667
Bochum,383743,51.48,7.2
Bologna,374624,44.5,11.34
Bolton,276786,53.5833,-2.43333
Bonn,314299,50.73,7.1
Bordeaux,239157,44.84,-0.58
Bradford,522452,53.7833,-1.75
Braila,218744,45.28,27.97
Brasov,282517,45.66,25.61
Bratislava,425459,48.16,17.13
Bremen,547934,53.08,8.81
Brest,318000,52.12,23.68
Bristol,430713,51.45,-2.58333
Brno,369559,49.2,16.61
Brunswick,245467,52.27,10.51
Brussels,1114042,50.83,4.33
Bucharest,1944451,44.44,26.1
Budapest,1721556,47.51,19.08
Bydgoszcz,362397,53.12,18.01
Caerdydd,302139,51.5,-3.2
Cartagena,208609,37.61,-0.98
Catania,306228,37.5,15.08
Charleroi,201223,50.42,4.43
Chemnitz,245700,50.83,12.92
Cherkasy,293271,49.43,32.07
Chernihiv,300497,51.5,31.3
Chernivtsi,242250,48.3,25.93
Chisinau,647513,47.03,28.83
Cluj-Napoca,309136,46.78,23.59
Cologne,1024373,50.95,6.97
Constanta,306332,44.18,28.63
Copenhagen,528208,55.68,12.57
Cordoba,322867,37.88,-4.77
Coventry,308313,52.4167,-1.55
Craiova,300182,44.33,23.82
Croydon,363378,51.3727,-0.1099
Czestochowa,244137,50.81,19.13
Debrecen,206225,47.54,21.63
Derby,235029,52.9333,-1.5
Dniprodzerzhynsk,249530,48.5,34.62
Dnipropetrovsk,1011177,48.45,34.98
Doncaster,302402,53.5333,-1.11667
Donetsk,968250,48.,37.82
Dortmund,580444,51.51,7.48
Dresden,523058,51.05,13.74
Dublin,1279603,53.33,-6.25
Duisburg,499111,51.43,6.75
Duesseldorf,588735,51.24,6.79
Edinburgh,446110,55.95,-3.2
Eindhoven,218456,51.44,5.47
Elx,219032,38.27,-0.68
Erfurt,202658,50.99,11.03
Espoo,235019,60.21,24.66
Essen,583198,51.47,7.
Florence,368791,43.78,11.24
Frankfurt,679664,50.12,8.68
Freiburg,217547,47.99,7.85
Galati,298366,45.44,28.04
Gdansk,456103,54.36,18.64
Gdynia,251183,54.52,18.53
Gelsenkirchen,266772,51.51,7.11
Genoa,604964,44.42,8.93
Gent,232961,51.05,3.72
Gijon,274472,43.53,-5.67
Glasgow,634680,55.8333,-4.25
Goeteborg,515252,57.72,12.01
Granada,237929,37.17,-3.59
Graz,264351,47.08,15.42
Greenwich,254557,51.48,0
Halle,235720,51.48,11.96
Hamburg,1774224,53.55,10.
Hanover,516343,52.4,9.73
Helsinki,564521,60.17,24.94
Homjel,488100,52.43,30.99
Horlivka,279061,48.3,38.05
Hrodna,338200,53.67,23.83
Iasi,307377,47.17,27.57
Ivano-Frankivsk,219479,48.92,24.71
Jerez,210861,36.68,-6.13
Karlsruhe,286327,49.,8.4
Katowice,313461,50.26,19.02
Kaunas,358111,54.9,23.91
Kharkiv,1452256,49.98,36.22
Kherson,319278,46.63,32.6
Khmelnytskyi,255902,49.42,27.
Kiel,235366,54.32,10.12
Kielce,206796,50.89,20.65
Kingston upon Hull,256406,53.7167,-0.333333
Kirovohrad,248367,48.5,32.26
Kosice,233659,48.73,21.26
Krakow,755546,50.06,19.96
Krefeld,237104,51.33,6.55
Kremenchuk,231202,49.07,33.42
Kryvyy Rih,670397,47.92,33.35
Kyiv,2799199,50.43,30.52
Las Palmas,377056,28.1,-15.43
Leeds,751485,53.7997,-1.54917
Leicester,329839,52.6333,-1.13333
Leipzig,506578,51.35,12.4
