#Stadt,Einwohner,Breitengrad,Laengengrad
Acapulco,616394,16.85,-99.92
Aguascalientes,934424,21.88,-102.3
Albuquerque,555417,35.1056,-106.647
Anaheim,343248,33.8362,-117.89
Anchorage,298610,61.1775,-149.274
Apodaca,393195,25.77,-100.18
Arlington,375600,32.7007,-97.1247
Atlanta,443775,33.7629,-84.4227
Aurora,339030,39.688,-104.69
Austin,842592,30.3072,-97.756
Bakersfield,358597,35.3212,-119.018
Baltimore,621342,39.3002,-76.6105
Baton Rouge,230058,30.4485,-91.1259
Bayamon,203593,18.35,-66.17
Boston,636479,42.332,-71.0202
Brampton,433806,43.6833,-79.7667
Buenavista,235602,19.55,-99.05
Buffalo,259384,42.8925,-78.8597
Burnaby,202799,49.2292,-122.947
Calgary,1149552,51.05,-114.06
Camaguey,306393,21.4,-77.91
Campeche,211671,19.85,-90.53
Cancun,526701,21.17,-86.83
Carrefour,430250,18.53,-72.42
Celaya,310413,20.52,-100.82
Chandler,245628,33.2829,-111.855
Charlotte,775202,35.2087,-80.8307
Chesapeake,228417,36.6794,-76.3018
Chicago,2714856,41.8376,-87.6818
Chihuahua,841490,28.63,-106.08
Chimalhuacan,524223,19.44,-98.96
Choloma,212400,15.61,-87.96
Chula Vista,252422,32.6277,-117.015
Cincinnati,296550,39.1399,-84.5064
Cleveland,390928,41.4781,-81.6795
Coacalco,285822,19.63,-99.11
Coatzacoalcos,234174,18.14,-94.42
Colorado Springs,431834,38.8673,-104.761
Columbus,809798,39.9848,-82.985
Corpus Christi,312195,27.7429,-97.4019
Cuautitlan Izcalli,477872,19.65,-99.25
Cuernavaca,332197,18.92,-99.25
Culiacan,605304,24.8,-107.39
Dallas,1241162,32.7942,-96.7655
Delmas,359451,18.55,-72.28
Denver,634265,39.7618,-104.881
Detroit,701475,42.383,-83.1022
Durango,463830,24.03,-104.67
Durham,239358,35.981,-78.9056
Ecatepec,1658806,19.6,-99.05
Edmonton,812201,53.57,-113.54
El Paso,672538,31.8484,-106.427
Ensenada,260075,31.87,-116.62
Fort Wayne,254555,41.0882,-85.1439
Fort Worth,777992,32.7795,-97.3463
Fremont,221986,37.4944,-121.941
Fresno,505882,36.7827,-119.794
Garland,233564,32.9098,-96.6304
Gatineau,265349,45.4846,-75.6451
General Escobedo,295131,25.82,-100.33
Gilbert,221140,33.3102,-111.742
Glendale,232143,33.5331,-112.19
Gomez Palacio,239842,25.57,-103.5
Gonaives,228725,19.45,-72.69
Greensboro,277080,36.0965,-79.8271
Guadalajara,1495182,20.67,-103.35
Guadalupe,675015,25.68,-100.26
Guantanamo,272801,20.15,-75.22
Guatemala,994938,14.63,-90.55
Halifax,297943,44.67,-63.61
Hamilton,519949,43.26,-79.85
Havana,2141993,23.13,-82.39
Henderson,265679,36.0122,-115.037
Hermosillo,641791,29.07,-110.97
Hialeah,231941,25.8699,-80.3029
Holguin,276956,20.89,-76.25
Honolulu,374701,21.3089,-157.826
Houston,2160821,29.7805,-95.3863
Indianapolis,844220,39.778,-86.1458
Irapuato,342561,20.68,-101.36
Irvine,229985,33.6784,-117.771
Irving,225427,32.8577,-96.97
Ixtapaluca,290076,19.32,-98.88
Jacksonville,836507,30.337,-81.6613
Jersey City,254441,40.7114,-74.0648
Juarez,1328017,31.74,-106.49
Kansas City,464310,39.1252,-94.5511
Kingston,583958,17.99,-76.8
Kitchener,219153,43.46,-80.5
Laredo,244731,27.5477,-99.4869
La Romana,208437,18.43,-68.97
Las Tunas,203684,20.97,-76.95
