#Stadt,Einwohner,Breitengrad,Laengengrad
Adelaide,1262940,-34.93,138.6
Auckland,462200,-36.85,174.76
Blacktown,271709,-33.7718,150.912
Brisbane,2146577,-27.46,153.02
Canberra,351868,-35.31,149.13
Christchurch,363200,-43.53,172.64
Gold Coast,558888,-28.07,153.44
Hobart,209287,-42.85,147.29
Melbourne,4169103,-37.81,144.96
Newcastle,531191,-32.92,151.75
Perth,1832114,-31.96,115.84
Port Moresby,283733,-9.48,147.18
Sunshine Coast,311411,-25.88,152.56
Sydney,4627345,-33.87,151.21
Wellington,202200,-41.28,174.78
Wollongong,284169,-34.42,150.87
