#Stadt,Einwohner,Breitengrad,Laengengrad
Ananindeua,483100,-1.38,-48.38
Anapolis,316600,-16.32,-48.96
Antofagasta,309832,-23.65,-70.39
Aparecida de Goiania,474100,-16.82,-49.24
Aracaju,520303,-10.91,-37.07
Arequipa,978009,-16.39,-71.53
Armenia,273114,4.53,-75.69
Asuncion,508795,-25.3,-57.63
Bahia Blanca,276546,-38.72,-62.28
Barcelona,424795,10.13,-64.72
Bariloche,274509,-41.14,-71.32
Barinas,284289,8.6,-70.25
Barquisimeto,1018900,10.05,-69.3
Barranquilla,1148506,10.96,-74.8
Barueri,252748,-23.49,-46.86
Baruta,244216,10.43,-66.88
Bauru,341400,-22.33,-49.08
Belem,1351618,-1.44,-48.5
Belford Roxo,480555,-22.75,-43.42
Bello,358139,6.33,-75.57
Belo Horizonte,2258096,-19.92,-43.94
Betim,403700,-19.97,-44.19
Blumenau,270700,-26.92,-49.09
Boa Vista,246156,2.83,-60.66
Bogota,7674366,4.63,-74.09
Brasilia,2469489,-15.78,-47.91
Bucaramanga,509216,7.13,-73.13
Buenaventura,304206,3.89,-77.04
Buenos Aires,2891082,-34.61,-58.37
Cabimas,200818,10.43,-71.45
Cali,2117038,3.44,-76.52
Campina Grande,354048,-7.23,-35.88
Campinas,1024912,-22.91,-47.08
Campo Grande,766461,-20.45,-54.63
Campos,381300,-21.75,-41.34
Canoas,326458,-29.92,-51.18
Caracas,4543901,10.54,-66.93
Carapicuiba,379566,-23.52,-46.84
Cariacica,344100,-20.23,-40.37
Cartagena,955250,10.4,-75.5
Caruaru,247800,-8.28,-35.98
Cascavel,266300,-24.96,-53.46
Caucaia,286000,-3.74,-38.67
Caxias do Sul,369100,-29.18,-51.17
Chiclayo,524442,-6.76,-79.84
Chimbote,313350,-9.07,-78.6
Ciudad Bolivar,291119,8.1,-63.6
Ciudad del Este,260561,-25.42,-54.63
Ciudad Guayana,789500,8.37,-62.62
Cochabamba,618376,-17.38,-66.17
Concepcion,215413,-36.8166,-73.0502
Contagem,603300,-19.91,-44.1
Cordoba,1330023,-31.4,-64.19
Corrientes,339067,-27.49,-58.81
Cucuta,567664,7.88,-72.51
Cuenca,276964,-2.9,-79.01
Cuiaba,519015,-15.61,-56.09
Cumana,257783,10.45,-64.18
Curitiba,1776761,-25.42,-49.29
Cusco,329203,-13.52,-71.99
Diadema,386779,-23.69,-46.61
Duque de Caxias,818432,-22.77,-43.31
El Alto,953253,-16.5,-68.17
